ground_truth,prediction,rounded_prediction
2.0,1.8671875,2.0
3.5,3.859375,4.0
3.5,3.75,4.0
2.5,2.484375,2.5
4.0,4.3125,4.5
3.5,3.734375,3.5
3.5,3.78125,4.0
3.0,3.109375,3.0
3.5,3.828125,4.0
4.5,4.875,5.0
3.5,3.78125,4.0
4.0,4.4375,4.5
3.0,3.03125,3.0
4.0,4.0,4.0
3.0,3.0625,3.0
4.0,4.1875,4.0
3.5,3.484375,3.5
3.0,2.859375,3.0
3.0,2.8125,3.0
3.5,3.671875,3.5
3.0,2.890625,3.0
3.0,2.953125,3.0
3.5,3.703125,3.5
3.0,3.28125,3.5
3.5,3.609375,3.5
2.5,2.578125,2.5
3.0,2.78125,3.0
3.0,3.28125,3.5
3.0,3.046875,3.0
2.5,2.28125,2.5
3.0,3.03125,3.0
3.5,3.78125,4.0
3.0,2.953125,3.0
3.5,2.9375,3.0
4.0,4.28125,4.5
4.0,4.15625,4.0
3.0,2.65625,2.5
3.0,2.953125,3.0
3.5,3.796875,4.0
2.0,2.140625,2.0
4.0,4.15625,4.0
2.0,2.03125,2.0
3.5,3.609375,3.5
3.5,3.859375,4.0
3.5,3.453125,3.5
4.0,4.375,4.5
4.5,4.78125,5.0
2.0,2.21875,2.0
3.5,3.75,4.0
3.5,3.734375,3.5
3.5,3.953125,4.0
3.5,3.546875,3.5
2.5,2.40625,2.5
3.0,3.0,3.0
3.5,3.578125,3.5
2.0,1.9296875,2.0
3.0,3.40625,3.5
3.5,3.5625,3.5
3.0,2.9375,3.0
3.0,2.96875,3.0
3.5,3.578125,3.5
3.0,3.375,3.5
2.5,2.21875,2.0
2.5,2.34375,2.5
4.0,4.125,4.0
3.5,3.65625,3.5
3.0,2.890625,3.0
4.0,4.25,4.0
3.5,3.765625,4.0
3.0,2.890625,3.0
4.0,4.21875,4.0
2.5,2.5625,2.5
3.0,3.1875,3.0
3.0,3.09375,3.0
3.0,3.296875,3.5
2.5,2.453125,2.5
4.0,4.28125,4.5
3.5,3.5,3.5
3.5,3.171875,3.0
3.0,2.984375,3.0
3.0,3.265625,3.5
3.0,3.25,3.0
3.0,3.375,3.5
3.0,2.859375,3.0
2.5,2.421875,2.5
4.0,4.25,4.0
4.0,4.375,4.5
2.0,1.9765625,2.0
3.0,3.15625,3.0
3.5,3.6875,3.5
3.5,3.84375,4.0
3.5,3.296875,3.5
3.5,3.78125,4.0
3.0,3.453125,3.5
3.0,3.109375,3.0
3.0,3.09375,3.0
4.0,4.34375,4.5
3.0,3.328125,3.5
4.0,4.40625,4.5
3.5,3.984375,4.0
3.0,3.359375,3.5
3.0,3.0625,3.0
3.0,2.921875,3.0
4.0,3.953125,4.0
3.0,2.828125,3.0
3.5,3.890625,4.0
4.0,4.21875,4.0
4.0,4.15625,4.0
2.0,2.3125,2.5
3.0,2.875,3.0
4.0,4.21875,4.0
4.0,4.15625,4.0
2.5,2.59375,2.5
4.0,3.890625,4.0
4.0,3.984375,4.0
3.5,3.75,4.0
3.5,3.96875,4.0
4.0,4.25,4.0
