ground_truth,prediction,rounded_prediction
2.5,2.3125,2.5
2.5,3.046875,3.0
4.5,3.84375,4.0
3.0,2.65625,2.5
4.0,3.6875,3.5
3.0,3.671875,3.5
3.0,3.5625,3.5
2.5,2.390625,2.5
4.0,4.03125,4.0
4.0,4.34375,4.5
4.0,4.1875,4.0
4.0,4.21875,4.0
4.0,3.90625,4.0
4.0,4.0625,4.0
3.0,3.703125,3.5
4.5,4.3125,4.5
4.0,4.125,4.0
5.0,4.46875,4.5
3.5,3.5625,3.5
4.0,3.546875,3.5
4.0,3.6875,3.5
4.0,3.703125,3.5
4.0,3.703125,3.5
3.0,3.4375,3.5
4.0,3.59375,3.5
3.0,3.140625,3.0
4.0,3.59375,3.5
2.5,2.734375,2.5
2.5,2.75,3.0
4.0,4.1875,4.0
3.0,2.5625,2.5
3.5,3.421875,3.5
3.0,3.390625,3.5
3.0,2.328125,2.5
4.0,3.953125,4.0
4.0,4.03125,4.0
3.5,3.734375,3.5
3.5,3.625,3.5
2.0,3.015625,3.0
2.0,1.953125,2.0
2.5,3.234375,3.0
1.0,1.234375,1.0
3.0,3.71875,3.5
4.0,4.0625,4.0
3.5,3.84375,4.0
5.0,4.34375,4.5
4.5,4.4375,4.5
3.5,3.265625,3.5
3.5,3.234375,3.0
4.0,3.859375,4.0
3.5,3.625,3.5
2.5,2.78125,3.0
4.0,3.546875,3.5
3.5,3.875,4.0
4.0,4.0,4.0
3.0,2.984375,3.0
3.0,3.0,3.0
3.0,3.890625,4.0
3.5,2.953125,3.0
2.5,2.453125,2.5
3.0,3.3125,3.5
3.5,3.703125,3.5
2.0,2.28125,2.5
3.5,3.359375,3.5
2.5,3.15625,3.0
4.0,3.703125,3.5
3.5,3.34375,3.5
3.5,3.53125,3.5
3.5,3.640625,3.5
2.5,2.546875,2.5
3.5,3.9375,4.0
2.0,2.0625,2.0
3.5,3.296875,3.5
4.0,3.84375,4.0
4.0,3.96875,4.0
2.0,2.34375,2.5
3.5,4.0,4.0
3.0,3.59375,3.5
3.0,3.390625,3.5
4.0,3.875,4.0
3.5,3.3125,3.5
3.0,3.515625,3.5
4.0,4.09375,4.0
4.0,3.890625,4.0
2.0,2.4375,2.5
3.5,3.515625,3.5
4.5,4.1875,4.0
2.0,2.125,2.0
3.5,3.515625,3.5
4.0,3.75,4.0
4.0,3.96875,4.0
3.0,3.390625,3.5
3.5,3.375,3.5
3.0,3.40625,3.5
3.5,3.3125,3.5
3.5,2.796875,3.0
4.0,4.0,4.0
1.0,2.046875,2.0
4.0,3.671875,3.5
4.0,3.765625,4.0
3.5,3.578125,3.5
3.5,3.421875,3.5
3.0,3.296875,3.5
4.5,4.09375,4.0
3.0,2.75,3.0
3.5,3.5,3.5
3.5,3.671875,3.5
3.5,3.3125,3.5
2.5,2.296875,2.5
4.0,3.703125,3.5
3.5,3.8125,4.0
4.0,3.5625,3.5
1.0,1.9375,2.0
3.0,3.65625,3.5
3.5,3.671875,3.5
3.0,3.9375,4.0
4.0,4.15625,4.0
5.0,4.5,4.5
4.5,4.34375,4.5
3.5,3.734375,3.5
4.0,3.90625,4.0
3.5,3.515625,3.5
2.0,2.078125,2.0
3.5,3.921875,4.0
3.5,3.6875,3.5
4.0,3.765625,4.0
3.0,2.828125,3.0
4.0,3.984375,4.0
4.0,3.5,3.5
4.0,3.75,4.0
2.0,2.53125,2.5
3.0,3.15625,3.0
4.5,3.984375,4.0
3.0,3.203125,3.0
3.0,3.390625,3.5
3.0,3.578125,3.5
3.0,3.546875,3.5
4.0,4.09375,4.0
3.5,3.921875,4.0
3.5,3.671875,3.5
3.0,3.09375,3.0
4.0,3.859375,4.0
2.5,2.96875,3.0
4.0,3.921875,4.0
4.0,3.71875,3.5
4.0,3.921875,4.0
4.5,4.125,4.0
4.0,3.890625,4.0
3.5,3.59375,3.5
4.0,4.34375,4.5
4.0,4.09375,4.0
3.5,3.515625,3.5
3.5,4.25,4.0
4.0,3.984375,4.0
3.0,3.65625,3.5
4.0,3.546875,3.5
4.0,3.578125,3.5
3.5,4.0625,4.0
3.0,2.8125,3.0
3.5,3.515625,3.5
3.5,3.78125,4.0
4.0,3.859375,4.0
4.5,4.25,4.0
3.0,3.609375,3.5
4.0,3.984375,4.0
4.0,3.96875,4.0
4.0,3.859375,4.0
4.0,4.21875,4.0
4.0,3.640625,3.5
3.5,2.921875,3.0
3.5,3.484375,3.5
3.5,3.84375,4.0
4.0,4.0,4.0
3.5,3.953125,4.0
3.5,3.703125,3.5
3.5,3.75,4.0
4.0,4.0,4.0
4.0,3.921875,4.0
4.0,3.75,4.0
4.5,4.28125,4.5
3.5,3.90625,4.0
3.5,3.828125,4.0
3.5,3.96875,4.0
4.0,4.125,4.0
3.0,3.265625,3.5
4.0,3.90625,4.0
3.0,3.3125,3.5
3.5,3.859375,4.0
4.0,4.15625,4.0
3.0,3.328125,3.5
3.5,3.75,4.0
4.0,4.375,4.5
3.0,3.28125,3.5
3.5,3.5625,3.5
3.5,3.671875,3.5
4.0,4.09375,4.0
4.0,4.15625,4.0
3.0,3.125,3.0
4.0,3.90625,4.0
3.5,3.859375,4.0
3.0,3.40625,3.5
3.5,2.890625,3.0
4.5,4.125,4.0
4.0,4.09375,4.0
3.5,3.671875,3.5
4.5,4.21875,4.0
3.5,3.9375,4.0
3.0,3.578125,3.5
4.0,4.375,4.5
3.0,3.015625,3.0
